"account_id","acct_district_id","frequency","acct_date","uid","disp_type","birth_number","cli_district_id","lastname","firstname","birthdate","gender","ssn","email","street","zip"
"3337","58","POPLATEK PO OBRATU","970222","4035","DISPONENT","305820","58","Britto","Alan","1951-10-20","Male","692-17-0739","sed.turpis.nec@mifringillami.com","851-2212 Aliquam St.","37-607"
"764","1","POPLATEK MESICNE","930108","914","OWNER","215119","1","Murillo","Tashya","1968-10-02","Male","118-43-0891","libero.Morbi.accumsan@Integersem.ca","Ap #918-6064 Diam. Rd.","C2H 1N1"
"9208","29","POPLATEK MESICNE","970524","11337","OWNER","690403","29","Desrosiers","Silas","1939-08-19","Male","833-78-0758","orci.Ut.semper@massaSuspendisse.edu","P.O. Box 610, 2592 Nulla St.","92276"
"2718","29","POPLATEK MESICNE","950205","3282","OWNER","810902","29","Meyer","Paula","1989-10-21","Female","088-27-0864","id.enim.Curabitur@vellectusCum.co.uk","Ap #896-1992 Tellus Ave","6579"
"2904","13","POPLATEK MESICNE","960320","3510","OWNER","391026","13","Wood","Elizabeth","1928-05-02","Female","637-36-0800","tincidunt.congue.turpis@auctor.ca","P.O. Box 198, 7625 Felis, Rd.","16726"
"245","65","POPLATEK MESICNE","931125","296","OWNER","740301","65","Strachan","Brenna","1960-09-02","Male","380-29-0895","molestie.sodales.Mauris@Quisque.net","P.O. Box 846, 3780 Lacus Road","K2V 1Y6"
"3395","16","POPLATEK MESICNE","971105","4105","OWNER","806115","16","Bull","Brock","1962-05-05","Female","798-88-0689","pede@vulputate.com","8133 Suspendisse Ave","84-900"
"544","32","POPLATEK MESICNE","950515","655","OWNER","421210","32","Lowing","Celeste","2011-06-08","Female","008-47-0151","placerat@Curabiturvellectus.edu","8578 Non, Rd.","78717"
"5774","1","POPLATEK MESICNE","950608","6987","OWNER","680129","1","Ruys","Andrew","1947-02-16","Male","027-90-0196","nunc.sed.pede@variusNamporttitor.org","4916 Magnis Ave","70215"
"139","38","POPLATEK TYDNE","970515","167","OWNER","785418","38","Merchant","Oscar","1983-10-03","Female","706-96-0244","Proin@Duis.org","199-4380 Mollis Road","21698"
"1868","16","POPLATEK TYDNE","971129","2266","OWNER","390123","16","Branan","Channing","1943-09-16","Female","737-14-0313","lectus@fringilla.org","5792 Ullamcorper Street","2856"
"396","21","POPLATEK MESICNE","930308","478","OWNER","780621","21","Shane","Isaac","2010-07-19","Male","414-06-0550","turpis.In.condimentum@auctor.org","P.O. Box 490, 1408 Suspendisse St.","19114-054"
"2821","54","POPLATEK MESICNE","960712","3410","OWNER","650216","54","Rupp","Darrel","1988-03-05","Male","160-96-0590","ut.quam.vel@vehiculaPellentesque.edu","P.O. Box 916, 2526 Amet Street","17415"
"3661","50","POPLATEK MESICNE","960111","4414","OWNER","330619","50","Moses","Clementine","1957-06-29","Male","057-37-0951","commodo.ipsum.Suspendisse@leo.edu","6651 Eu, Ave","1850"
"523","1","POPLATEK MESICNE","930811","629","OWNER","760310","16","Wine","Lydia","1971-02-02","Female","535-64-0451","sagittis.lobortis@eutemporerat.com","P.O. Box 332, 9244 Auctor Street","HO0Q 8JC"
"2950","62","POPLATEK MESICNE","960628","3564","OWNER","480323","62","Gutierrez","Tate","2008-02-23","Female","784-86-0563","Morbi.non.sapien@Nunclaoreet.net","746-3074 Amet Avenue","55580"
"61","70","POPLATEK MESICNE","931211","71","DISPONENT","275206","70","Vitek","Elizabeth","1932-04-28","Male","459-25-0169","aliquet@vel.org","Ap #729-6395 Sagittis. St.","X4N 0N7"
"3610","1","POPLATEK MESICNE","970922","4355","OWNER","386229","1","Santana","Savannah","1975-09-07","Male","192-31-0012","Nullam.scelerisque@Etiamvestibulummassa.co.uk","Ap #954-4951 Elit, St.","383724"
"519","24","POPLATEK MESICNE","931112","624","DISPONENT","325726","24","Petrie","Craig","1962-07-15","Female","384-89-0353","enim@Proinnon.com","P.O. Box 409, 6734 Amet Rd.","4675"
"7606","21","POPLATEK MESICNE","950315","9417","OWNER","490308","21","Mayes","Rashad","1951-12-21","Female","239-70-0944","Etiam.imperdiet.dictum@metusfacilisislorem.edu","P.O. Box 201, 2128 Sed St.","46365"
"2686","26","POPLATEK MESICNE","960111","3242","DISPONENT","375304","26","Burton","Norman","1926-08-22","Male","010-51-0055","iaculis.lacus@Sednec.com","153-2224 Lobortis Rd.","6500"
"1052","61","POPLATEK MESICNE","930927","1264","OWNER","766003","61","Leftwich","Brady","1951-12-05","Male","866-55-0299","scelerisque@pellentesque.net","1533 Erat, Rd.","6467 AG"
"686","41","POPLATEK MESICNE","930404","823","OWNER","561024","41","Likes","Keaton","1941-07-05","Male","607-97-0627","imperdiet.ornare@arcu.net","2907 Penatibus Rd.","94-655"
"3614","19","POPLATEK MESICNE","960807","4360","OWNER","655710","19","Bettini","Simon","2014-04-29","Male","867-25-0508","cursus.vestibulum.Mauris@incursuset.net","P.O. Box 453, 5844 Leo. St.","11849"
"9491","7","POPLATEK TYDNE","960808","11683","OWNER","800128","7","Castro","Gisela","1931-07-29","Female","173-38-0085","Donec.felis@etmagnis.ca","8897 Velit Road","35466"
"1635","19","POPLATEK MESICNE","931229","1981","OWNER","705922","19","Pietras","Brody","1933-04-15","Female","517-44-0929","Nullam@euelitNulla.org","Ap #188-1525 Velit. Rd.","7013"
"2390","1","POPLATEK MESICNE","960212","2886","DISPONENT","581003","1","Sun","Elvis","1977-08-25","Male","559-27-0602","mauris.sagittis@Vestibulum.edu","P.O. Box 546, 4348 Nibh Street","76985"
"9646","1","POPLATEK TYDNE","960730","11874","OWNER","690119","1","Elliott","Jakeem","1918-10-17","Male","168-06-0481","Mauris.blandit.enim@egetmetus.ca","Ap #302-4138 A St.","428762"
"1944","72","POPLATEK MESICNE","930212","2363","OWNER","470618","43","Barber","Ingrid","1975-05-05","Male","239-84-0358","molestie.tortor.nibh@Inscelerisquescelerisque.edu","719 Donec Rd.","E2K 7L6"
"944","70","POPLATEK MESICNE","930308","1139","DISPONENT","730922","70","Raman","Meghan","1984-05-31","Female","426-62-0022","nonummy.Fusce.fermentum@Aenean.edu","721-1511 Lobortis Av.","85630"
"830","74","POPLATEK MESICNE","930208","1000","DISPONENT","611027","74","White","Kirsten","1985-11-22","Male","764-90-0861","porttitor.tellus.non@consectetuer.net","3966 Turpis Rd.","49089-991"
"3663","67","POPLATEK MESICNE","941106","4416","OWNER","701225","67","Frick","Yoshio","1957-03-30","Male","606-39-0741","Donec.est@Crassed.edu","Ap #416-3823 Pellentesque Street","H7C 5K7"
"1872","61","POPLATEK MESICNE","970917","2270","OWNER","605421","61","Jones","Hayes","1972-11-22","Male","187-26-0713","a@consequat.ca","Ap #249-7878 Orci Ave","16286"
"2099","3","POPLATEK TYDNE","930112","2542","OWNER","441219","3","Delcampo","Glenna","1949-11-04","Female","213-47-0859","ullamcorper.Duis.at@luctusaliquetodio.edu","6868 Eu St.","84-355"
"173","66","POPLATEK MESICNE","931126","211","DISPONENT","455628","66","Nguyen","Kyla","1922-12-17","Male","688-91-0923","vitae.orci.Phasellus@Fuscefeugiat.com","243-7242 Eu St.","49975"
"1839","5","POPLATEK MESICNE","970622","2230","OWNER","690531","5","Guillory","Tobias","2012-10-25","Female","781-23-0158","felis.eget.varius@malesuada.com","Ap #101-9215 Sed Rd.","4284"
"1619","38","POPLATEK MESICNE","970224","1963","OWNER","450612","38","Harper","Richard","2018-10-07","Female","023-27-0481","luctus@auctor.co.uk","107-2988 Sed St.","7672 IX"
"1486","63","POPLATEK MESICNE","960115","1800","OWNER","435928","63","Boyd","Jordan","1994-09-10","Male","723-34-0894","elit.pretium@enim.org","241-6116 Sed Street","81258"
"116","8","POPLATEK MESICNE","960321","140","DISPONENT","610606","8","Hoyt","Cara","1938-09-07","Male","324-55-0342","in.tempus@eratvolutpat.org","543-3405 Et Street","69616"
"4132","36","POPLATEK MESICNE","971002","4976","OWNER","810118","36","Hinkle","Blythe","1969-06-12","Male","720-92-0831","elit.pretium.et@leoCras.com","218-3385 Vel Av.","41925"
"2335","70","POPLATEK MESICNE","960404","2823","OWNER","466218","70","Lu","Xander","2014-02-10","Female","795-95-0968","aliquam@eget.edu","987-3265 Nec Street","5384"
"1802","75","POPLATEK MESICNE","950310","2183","DISPONENT","310821","75","Fields","Pascale","1920-10-17","Female","717-80-0737","pellentesque.a.facilisis@molestieorci.org","906-5472 Mi St.","5695 IG"
"3556","58","POPLATEK MESICNE","970829","4291","OWNER","515507","58","Pullum","Reese","1959-01-15","Male","200-63-0080","pede.ultrices@nuncInat.org","P.O. Box 628, 4230 Taciti St.","5026 JM"
"1741","21","POPLATEK MESICNE","950510","2112","OWNER","270915","21","Menchaca","Sheila","2014-05-08","Male","539-52-0325","nibh.Phasellus.nulla@tellus.com","5965 Malesuada St.","83-780"
"4337","29","POPLATEK MESICNE","931116","5224","OWNER","490724","29","Shipp","Otto","1932-07-29","Male","350-75-0322","consectetuer.mauris@Phasellusvitae.com","3236 Faucibus Av.","811741"
"3288","54","POPLATEK MESICNE","940915","3979","OWNER","286014","54","Wyatt","Bethany","1940-12-16","Male","241-81-0880","sed@facilisis.com","1676 Luctus Rd.","9262 UA"
"1926","37","POPLATEK MESICNE","930106","2339","DISPONENT","561206","58","Hy","Nathan","1966-12-12","Female","326-62-0345","eu.augue@dolor.edu","Ap #799-2395 Iaculis Street","648539"
"2552","52","POPLATEK MESICNE","930701","3082","OWNER","796017","52","Ward","Garrison","1947-03-02","Male","866-62-0439","elit.dictum.eu@aliquetmolestie.ca","P.O. Box 346, 9524 Magnis Avenue","99332"
"3613","43","POPLATEK MESICNE","930810","4359","OWNER","500802","64","Tyndall","Nathaniel","1980-08-24","Male","669-52-0201","urna.justo@Nullatempor.co.uk","P.O. Box 870, 6635 Pellentesque St.","717307"
"3466","64","POPLATEK MESICNE","950216","4189","OWNER","411207","64","Hamilton","Blair","1986-08-04","Male","871-35-0380","adipiscing.lobortis.risus@consequat.ca","6589 Et Rd.","65384"
"814","76","POPLATEK MESICNE","961006","977","OWNER","265510","76","Littrell","Ina","1998-03-20","Female","019-29-0164","ornare.lectus.justo@ultricesposuerecubilia.ca","Ap #914-6142 Ipsum. Rd.","414543"
"1799","9","POPLATEK MESICNE","960913","2179","OWNER","396027","9","Lowe","Lee","1931-07-04","Male","008-93-0804","Vivamus@bibendumullamcorperDuis.edu","651-7518 Aliquam St.","7668"
"1184","14","POPLATEK MESICNE","940506","1427","OWNER","656216","14","Clark","Heidi","1999-07-08","Female","422-82-0248","quis.arcu@ultricesmaurisipsum.co.uk","4642 Est. St.","90045"
"2477","11","POPLATEK MESICNE","970211","2992","OWNER","660507","11","Foster","Merrill","1957-08-16","Male","734-07-0637","lacus@etmagnis.org","Ap #341-2303 Ac Av.","08815"
"428","1","POPLATEK MESICNE","930227","515","OWNER","320526","1","Clark","Lucian","1955-09-05","Female","228-38-0486","dui@parturientmontes.net","179-4683 Ipsum. Ave","82446"
"3693","61","POPLATEK MESICNE","930129","4453","OWNER","765529","61","Walker","Camden","1985-08-12","Male","141-66-0681","hendrerit.Donec@nequepellentesque.com","P.O. Box 597, 786 Eleifend. Street","124044"
"1080","55","POPLATEK MESICNE","931227","1296","OWNER","595801","55","Evins","Reagan","1920-12-30","Male","090-65-0695","augue@lacus.com","430-9318 Tincidunt Rd.","6925 BX"
"7857","75","POPLATEK MESICNE","930804","9715","OWNER","776130","35","Todd","Samuel","1943-09-19","Male","347-15-0282","neque@velitinaliquet.ca","9140 Eget St.","0521"
"3679","64","POPLATEK MESICNE","950815","4435","DISPONENT","656030","64","Rackley","Tasha","1953-07-05","Female","534-73-0560","orci.Ut@sedduiFusce.net","Ap #232-5648 Ac, Street","7533"
"138","22","POPLATEK MESICNE","950919","165","OWNER","681108","22","Francois","Russell","2003-05-14","Male","260-79-0024","sapien.Nunc@ametdapibus.org","4765 Sem Avenue","154680"
"2254","1","POPLATEK MESICNE","960417","2729","OWNER","660828","1","Shearer","Drake","1989-05-23","Female","301-04-0834","condimentum.eget@fringillaestMauris.com","967-837 Feugiat Rd.","95231"
"623","1","POPLATEK MESICNE","930324","748","OWNER","361015","25","Adamo","Brooke","1959-01-09","Female","151-88-0755","Donec.egestas@Morbinonsapien.co.uk","848-4180 Ac St.","3926 QW"
"10663","11","POPLATEK MESICNE","931208","13113","OWNER","761125","11","Graham","Paul","1995-08-25","Female","793-50-0256","In.ornare.sagittis@Morbi.co.uk","668-5007 Condimentum. St.","8762"
"16","12","POPLATEK MESICNE","970923","21","OWNER","526029","12","Villegas","Sylvester","1981-01-14","Male","231-83-0110","pharetra@nislelementum.com","P.O. Box 495, 3031 Urna Road","6592 EI"
"3066","74","POPLATEK MESICNE","960812","3707","OWNER","410624","74","Ortiz","Nathaniel","1989-09-06","Male","156-21-0581","interdum.feugiat@dignissim.ca","924-5567 Phasellus Rd.","51916"
"2458","40","POPLATEK TYDNE","930314","2968","OWNER","620824","40","Needham","Justine","1930-10-21","Male","694-97-0031","velit@Suspendisseac.ca","P.O. Box 507, 8122 Tellus Av.","5787 MD"
"748","10","POPLATEK MESICNE","930408","896","OWNER","735424","36","Kardos","Tucker","1956-05-08","Male","559-94-0366","accumsan@maurisid.org","P.O. Box 444, 7342 Ac Rd.","53946"
"6064","49","POPLATEK MESICNE","970111","7327","OWNER","590522","49","Baird","Stone","1994-11-24","Male","696-68-0745","tellus.eu@eunibh.edu","515-9507 Fusce St.","43195"
"351","50","POPLATEK MESICNE","970217","429","OWNER","815120","50","Irby","Cara","1938-02-23","Male","739-37-0554","euismod@sodalesat.net","3111 Vitae Av.","N5G 0Y4"
"10478","70","POPLATEK TYDNE","960224","12890","OWNER","585120","70","Zimmermann","Brynn","1940-10-05","Female","609-05-0896","nibh.sit@non.co.uk","P.O. Box 854, 1849 Aenean Road","29897"
"3513","20","POPLATEK MESICNE","930303","4242","DISPONENT","540427","20","Hertig","Scarlett","1926-01-20","Female","786-39-0022","Proin.sed@euismodmauris.com","Ap #565-2694 Vestibulum Ave","1264"
"3379","63","POPLATEK MESICNE","970124","4086","OWNER","416222","63","Weaver","Lars","1972-02-15","Female","464-73-0710","quis.tristique.ac@aliquetdiamSed.com","9515 Lorem, Av.","53396"
"2509","43","POPLATEK MESICNE","970613","3029","OWNER","700508","43","Ward","Idola","1935-04-09","Female","029-27-0939","nulla.magna.malesuada@tellusSuspendisse.org","4740 In Road","2239"
"2043","46","POPLATEK MESICNE","951127","2480","OWNER","766208","46","Hochstetler","Nora","2011-06-12","Male","168-21-0933","Duis@ipsumnuncid.ca","P.O. Box 216, 3831 Enim Av.","L5 1XV"
"2218","19","POPLATEK MESICNE","941121","2687","DISPONENT","490822","19","Coleman","Driscoll","1962-05-27","Male","406-12-0114","gravida@aliquetodioEtiam.co.uk","302-4976 Commodo St.","5222"
"1490","5","POPLATEK MESICNE","960725","1806","OWNER","520103","5","Ezell","Quincy","2019-02-24","Male","788-41-0089","et.rutrum.non@montesnascetur.com","P.O. Box 442, 5819 Est Ave","80710"
"1776","36","POPLATEK MESICNE","970727","2153","OWNER","495516","36","Leatherwood","Clinton","1945-08-11","Female","711-61-0070","semper.erat.in@dolor.net","P.O. Box 411, 6406 Tellus Road","77579"
"2327","19","POPLATEK MESICNE","930608","2814","OWNER","735210","19","Clark","Bradley","1940-10-23","Male","421-51-0864","egestas.rhoncus@sempertellusid.net","147-8613 Dui. Ave","21434"
"2620","22","POPLATEK MESICNE","930803","3161","OWNER","801118","66","Degroat","Nola","1966-05-07","Male","689-28-0738","fermentum.risus@nisinibh.co.uk","684-1763 Luctus Rd.","68077"
"440","29","POPLATEK MESICNE","961222","530","OWNER","575927","29","Dunne","Alden","1994-06-21","Male","381-82-0955","accumsan@nibhvulputate.edu","Ap #549-2429 Magna. Road","3364 RL"
"11349","1","POPLATEK TYDNE","950526","13956","DISPONENT","430406","1","Butler","Halee","1990-04-15","Female","444-17-0190","enim@Aliquam.org","198-8778 Tempus Rd.","18099"
"542","1","POPLATEK MESICNE","931101","653","OWNER","306121","1","Vankirk","Stacey","1948-02-28","Female","873-35-0047","est@posuereatvelit.edu","3079 Amet Avenue","20467"
"2862","33","POPLATEK MESICNE","930607","3458","OWNER","530630","33","Millan","Myles","1942-02-07","Male","625-82-0308","Sed@nonummy.com","Ap #151-3430 Venenatis St.","N6P 2L1"
"1935","38","POPLATEK MESICNE","960815","2351","OWNER","650417","38","Todd","Evan","1952-09-03","Female","002-68-0568","varius.ultrices.mauris@eu.net","6402 Nulla St.","J9P 4E8"
"91","17","POPLATEK MESICNE","961106","108","OWNER","630913","17","Debolt","Kelly","1959-09-14","Male","747-14-0120","eu.ultrices.sit@habitant.co.uk","587-9825 Risus, Rd.","0726 KV"
"904","1","POPLATEK MESICNE","940320","1089","OWNER","391209","1","Williams","Adria","1975-03-26","Male","713-09-0387","sit@ipsumcursusvestibulum.ca","P.O. Box 958, 5964 Pretium Road","2715"
"2796","5","POPLATEK TYDNE","971208","3379","DISPONENT","495701","5","George","Kaitlin","1934-09-03","Female","540-28-0761","adipiscing.elit.Aliquam@Mauris.ca","4718 Consectetuer Avenue","6083"
"56","50","POPLATEK MESICNE","940516","65","OWNER","435527","50","Schlomer","Charde","1941-05-01","Female","897-29-0504","nec@fringilla.net","8654 Quis, Avenue","68858"
"6512","34","POPLATEK TYDNE","960203","7864","OWNER","351214","34","Soto","Alden","1925-12-28","Female","755-13-0737","sit.amet@vulputaterisus.net","P.O. Box 752, 9099 Natoque St.","5290"
